model,random_state,test_size,ROC-AUC,PR-AUC,Accuracy
Random Forest,2,0.2,0.632017543859649,0.4347885182202447,0.7721518987341772
Logistic Regression,2,0.2,0.5912280701754385,0.3346709217365895,0.5822784810126582
Gradient Boosting,2,0.2,0.5087719298245613,0.2713186691135083,0.6962025316455697
Random Forest,2,0.2,0.632017543859649,0.4347885182202447,0.7721518987341772
Logistic Regression,2,0.2,0.5912280701754385,0.3346709217365895,0.5822784810126582
Gradient Boosting,2,0.2,0.5087719298245613,0.2713186691135083,0.6962025316455697
Random Forest,2,0.2,0.632017543859649,0.4347885182202447,0.7721518987341772
Logistic Regression,2,0.2,0.5912280701754385,0.3346709217365895,0.5822784810126582
Gradient Boosting,2,0.2,0.5087719298245613,0.2713186691135083,0.6962025316455697
Random Forest,2,0.2,0.632017543859649,0.4347885182202447,0.7721518987341772
Logistic Regression,2,0.2,0.5912280701754385,0.3346709217365895,0.5822784810126582
Gradient Boosting,2,0.2,0.5087719298245613,0.2713186691135083,0.6962025316455697
Random Forest,2,0.2,0.632017543859649,0.4347885182202447,0.7721518987341772
Logistic Regression,2,0.2,0.5912280701754385,0.3346709217365895,0.5822784810126582
Gradient Boosting,2,0.2,0.5087719298245613,0.2713186691135083,0.6962025316455697
Random Forest,3,0.2,0.6149122807017543,0.3958892466289505,0.7721518987341772
Logistic Regression,3,0.2,0.6,0.362459203701698,0.620253164556962
Gradient Boosting,3,0.2,0.5736842105263158,0.3609548431253654,0.7215189873417721
Random Forest,3,0.2,0.6149122807017543,0.3958892466289505,0.7721518987341772
Logistic Regression,3,0.2,0.6,0.362459203701698,0.620253164556962
Gradient Boosting,3,0.2,0.5736842105263158,0.3609548431253654,0.7215189873417721
Random Forest,3,0.2,0.6149122807017543,0.3958892466289505,0.7721518987341772
Logistic Regression,3,0.2,0.6,0.362459203701698,0.620253164556962
Gradient Boosting,3,0.2,0.5736842105263158,0.3609548431253654,0.7215189873417721
Random Forest,3,0.2,0.6149122807017543,0.3958892466289505,0.7721518987341772
Logistic Regression,3,0.2,0.6,0.362459203701698,0.620253164556962
Gradient Boosting,3,0.2,0.5736842105263158,0.3609548431253654,0.7215189873417721
Random Forest,3,0.2,0.6149122807017543,0.3958892466289505,0.7721518987341772
Logistic Regression,3,0.2,0.6,0.362459203701698,0.620253164556962
Gradient Boosting,3,0.2,0.5736842105263158,0.3609548431253654,0.7215189873417721
